"Genotype" "Female" "Male" "Type" "Yield"
"431" "F022M013" "F022" "M013" "Hybrid" 10.659
"432" "F023M001" "F023" "M001" "Hybrid" 10.934
"433" "F023M002" "F023" "M002" "Hybrid" 10.583
"434" "F023M003" "F023" "M003" "Hybrid" 10.874
"435" "F023M004" "F023" "M004" "Hybrid" 10.284
"436" "F023M005" "F023" "M005" "Hybrid" 10.958
"437" "F023M006" "F023" "M006" "Hybrid" 10.727
"438" "F023M007" "F023" "M007" "Hybrid" 10.782
"439" "F023M008" "F023" "M008" "Hybrid" 10.693
"440" "F023M009" "F023" "M009" "Hybrid" 10.802
"441" "F023M010" "F023" "M010" "Hybrid" 10.278
"442" "F023M011" "F023" "M011" "Hybrid" 10.681
"443" "F023M012" "F023" "M012" "Hybrid" 10.589
"444" "F023M013" "F023" "M013" "Hybrid" 10.418
"445" "F023M014" "F023" "M014" "Hybrid" 10.309
"446" "F024M001" "F024" "M001" "Hybrid" 11.021
"447" "F024M002" "F024" "M002" "Hybrid" 10.606
"448" "F024M003" "F024" "M003" "Hybrid" 10.713
"449" "F024M004" "F024" "M004" "Hybrid" 10.587
"450" "F024M005" "F024" "M005" "Hybrid" 10.492
"451" "F024M006" "F024" "M006" "Hybrid" 10.903
"452" "F024M007" "F024" "M007" "Hybrid" 10.741
"453" "F024M008" "F024" "M008" "Hybrid" 10.708
"454" "F024M009" "F024" "M009" "Hybrid" 11.124
"455" "F024M010" "F024" "M010" "Hybrid" 10.691
"456" "F024M011" "F024" "M011" "Hybrid" 10.493
"457" "F024M013" "F024" "M013" "Hybrid" 10.767
"458" "F024M014" "F024" "M014" "Hybrid" 10.706
"459" "F024M015" "F024" "M015" "Hybrid" 10.799
"460" "F025M003" "F025" "M003" "Hybrid" 10.706
"461" "F025M005" "F025" "M005" "Hybrid" 11.162
"462" "F025M006" "F025" "M006" "Hybrid" 11.078
"463" "F025M007" "F025" "M007" "Hybrid" 10.48
"464" "F025M009" "F025" "M009" "Hybrid" 10.967
"465" "F025M010" "F025" "M010" "Hybrid" 10.661
"466" "F025M013" "F025" "M013" "Hybrid" 10.864
"467" "F025M014" "F025" "M014" "Hybrid" 10.849
"468" "F025M015" "F025" "M015" "Hybrid" 11.077
"469" "F026M001" "F026" "M001" "Hybrid" 10.986
"470" "F026M002" "F026" "M002" "Hybrid" 10.607
"471" "F026M003" "F026" "M003" "Hybrid" 10.291
"472" "F026M004" "F026" "M004" "Hybrid" 10.723
"473" "F026M005" "F026" "M005" "Hybrid" 11.351
"474" "F026M006" "F026" "M006" "Hybrid" 10.759
"475" "F026M007" "F026" "M007" "Hybrid" 10.678
"476" "F026M008" "F026" "M008" "Hybrid" 10.738
"477" "F026M009" "F026" "M009" "Hybrid" 10.91
"478" "F026M010" "F026" "M010" "Hybrid" 10.621
"479" "F026M011" "F026" "M011" "Hybrid" 10.696
"480" "F026M012" "F026" "M012" "Hybrid" 10.717
"481" "F026M013" "F026" "M013" "Hybrid" 10.283
"482" "F026M014" "F026" "M014" "Hybrid" 10.713
"483" "F026M015" "F026" "M015" "Hybrid" 10.693
"484" "F027M001" "F027" "M001" "Hybrid" 10.172
"485" "F027M002" "F027" "M002" "Hybrid" 10.258
"486" "F027M003" "F027" "M003" "Hybrid" 9.856
"487" "F027M004" "F027" "M004" "Hybrid" 10.174
"488" "F027M005" "F027" "M005" "Hybrid" 10.333
"489" "F027M006" "F027" "M006" "Hybrid" 10.584
"490" "F027M007" "F027" "M007" "Hybrid" 10.193
"491" "F027M008" "F027" "M008" "Hybrid" 10.065
"492" "F027M009" "F027" "M009" "Hybrid" 10.574
"493" "F027M010" "F027" "M010" "Hybrid" 10.039
"494" "F027M012" "F027" "M012" "Hybrid" 10.101
"495" "F027M013" "F027" "M013" "Hybrid" 10.579
