"Genotype" "Female" "Male" "Type" "Yield"
"1443" "F095M015" "F095" "M015" "Hybrid" 10.763
"1444" "F096M001" "F096" "M001" "Hybrid" 10.902
"1445" "F096M002" "F096" "M002" "Hybrid" 10.906
"1446" "F096M003" "F096" "M003" "Hybrid" 10.776
"1447" "F096M004" "F096" "M004" "Hybrid" 10.553
"1448" "F096M005" "F096" "M005" "Hybrid" 10.815
"1449" "F096M006" "F096" "M006" "Hybrid" 11.276
"1450" "F096M007" "F096" "M007" "Hybrid" 10.555
"1451" "F096M008" "F096" "M008" "Hybrid" 10.847
"1452" "F096M009" "F096" "M009" "Hybrid" 10.936
"1453" "F096M012" "F096" "M012" "Hybrid" 10.74
"1454" "F096M013" "F096" "M013" "Hybrid" 10.971
"1455" "F096M014" "F096" "M014" "Hybrid" 11.026
"1456" "F096M015" "F096" "M015" "Hybrid" 11.157
"1457" "F097M001" "F097" "M001" "Hybrid" 11.614
"1458" "F097M002" "F097" "M002" "Hybrid" 11.449
"1459" "F097M003" "F097" "M003" "Hybrid" 10.733
"1460" "F097M004" "F097" "M004" "Hybrid" 10.927
"1461" "F097M005" "F097" "M005" "Hybrid" 11.636
"1462" "F097M006" "F097" "M006" "Hybrid" 11.593
"1463" "F097M007" "F097" "M007" "Hybrid" 11.404
"1464" "F097M008" "F097" "M008" "Hybrid" 11.799
"1465" "F097M009" "F097" "M009" "Hybrid" 11.394
"1466" "F097M010" "F097" "M010" "Hybrid" 11.524
"1467" "F097M011" "F097" "M011" "Hybrid" 11.245
"1468" "F097M012" "F097" "M012" "Hybrid" 11.219
"1469" "F097M013" "F097" "M013" "Hybrid" 11.247
"1470" "F097M014" "F097" "M014" "Hybrid" 11.422
"1471" "F097M015" "F097" "M015" "Hybrid" 11.198
"1472" "F098M001" "F098" "M001" "Hybrid" 10.806
"1473" "F098M003" "F098" "M003" "Hybrid" 10.465
"1474" "F098M004" "F098" "M004" "Hybrid" 10.516
"1475" "F098M005" "F098" "M005" "Hybrid" 10.845
"1476" "F098M006" "F098" "M006" "Hybrid" 11.194
"1477" "F098M007" "F098" "M007" "Hybrid" 10.96
"1478" "F098M008" "F098" "M008" "Hybrid" 11.187
"1479" "F098M009" "F098" "M009" "Hybrid" 11.174
"1480" "F098M010" "F098" "M010" "Hybrid" 10.685
"1481" "F098M011" "F098" "M011" "Hybrid" 10.86
"1482" "F098M012" "F098" "M012" "Hybrid" 11.011
"1483" "F098M013" "F098" "M013" "Hybrid" 10.654
"1484" "F099M001" "F099" "M001" "Hybrid" 11.204
"1485" "F099M003" "F099" "M003" "Hybrid" 10.648
"1486" "F099M004" "F099" "M004" "Hybrid" 10.596
"1487" "F099M005" "F099" "M005" "Hybrid" 11.405
"1488" "F099M006" "F099" "M006" "Hybrid" 11.487
"1489" "F099M007" "F099" "M007" "Hybrid" 11.172
"1490" "F099M008" "F099" "M008" "Hybrid" 11.267
"1491" "F099M009" "F099" "M009" "Hybrid" 11.083
"1492" "F099M010" "F099" "M010" "Hybrid" 10.597
"1493" "F099M011" "F099" "M011" "Hybrid" 10.831
"1494" "F099M012" "F099" "M012" "Hybrid" 10.983
"1495" "F099M014" "F099" "M014" "Hybrid" 11.19
"1496" "F099M015" "F099" "M015" "Hybrid" 11.088
"1497" "F100M001" "F100" "M001" "Hybrid" 11.05
"1498" "F100M002" "F100" "M002" "Hybrid" 10.987
"1499" "F100M003" "F100" "M003" "Hybrid" 11.047
"1500" "F100M004" "F100" "M004" "Hybrid" 10.251
"1501" "F100M005" "F100" "M005" "Hybrid" 10.757
"1502" "F100M006" "F100" "M006" "Hybrid" 11.51
"1503" "F100M008" "F100" "M008" "Hybrid" 10.724
"1504" "F100M009" "F100" "M009" "Hybrid" 11.261
"1505" "F100M010" "F100" "M010" "Hybrid" 10.792
"1506" "F100M011" "F100" "M011" "Hybrid" 10.738
"1507" "F100M012" "F100" "M012" "Hybrid" 10.601
"1508" "F100M013" "F100" "M013" "Hybrid" 11.065
"1509" "F100M014" "F100" "M014" "Hybrid" 10.716
"1510" "F100M015" "F100" "M015" "Hybrid" 10.965
"1511" "F101M001" "F101" "M001" "Hybrid" 11.297
"1512" "F101M002" "F101" "M002" "Hybrid" 10.878
"1513" "F101M003" "F101" "M003" "Hybrid" 10.894
"1514" "F101M004" "F101" "M004" "Hybrid" 10.804
"1515" "F101M005" "F101" "M005" "Hybrid" 11.258
"1516" "F101M006" "F101" "M006" "Hybrid" 11.229
"1517" "F101M007" "F101" "M007" "Hybrid" 10.985
"1518" "F101M008" "F101" "M008" "Hybrid" 11.136
"1519" "F101M009" "F101" "M009" "Hybrid" 11.609
"1520" "F101M010" "F101" "M010" "Hybrid" 11.227
"1521" "F101M011" "F101" "M011" "Hybrid" 10.686
"1522" "F101M012" "F101" "M012" "Hybrid" 11.038
"1523" "F101M013" "F101" "M013" "Hybrid" 10.782
"1524" "F101M014" "F101" "M014" "Hybrid" 11.576
"1525" "F101M015" "F101" "M015" "Hybrid" 11.244
"1526" "F102M013" "F102" "M013" "Hybrid" 11.662
"1527" "F102M014" "F102" "M014" "Hybrid" 11.398
"1528" "F102M015" "F102" "M015" "Hybrid" 11.148
"1529" "F103M004" "F103" "M004" "Hybrid" 10.512
"1530" "F103M005" "F103" "M005" "Hybrid" 10.958
"1531" "F103M006" "F103" "M006" "Hybrid" 10.969
"1532" "F103M009" "F103" "M009" "Hybrid" 10.875
"1533" "F103M010" "F103" "M010" "Hybrid" 11.121
"1534" "F103M011" "F103" "M011" "Hybrid" 10.787
"1535" "F103M012" "F103" "M012" "Hybrid" 10.507
"1536" "F103M013" "F103" "M013" "Hybrid" 10.913
"1537" "F103M014" "F103" "M014" "Hybrid" 10.539
"1538" "F103M015" "F103" "M015" "Hybrid" 10.973
"1539" "F104M003" "F104" "M003" "Hybrid" 10.91
"1540" "F104M004" "F104" "M004" "Hybrid" 10.37
"1541" "F104M009" "F104" "M009" "Hybrid" 10.988
"1542" "F104M010" "F104" "M010" "Hybrid" 10.872
"1543" "F104M012" "F104" "M012" "Hybrid" 10.41
"1544" "F104M013" "F104" "M013" "Hybrid" 11.093
"1545" "F104M014" "F104" "M014" "Hybrid" 11.081
"1546" "F104M015" "F104" "M015" "Hybrid" 10.72
"1547" "F105M001" "F105" "M001" "Hybrid" 11.308
"1548" "F105M003" "F105" "M003" "Hybrid" 10.956
"1549" "F105M004" "F105" "M004" "Hybrid" 10.628
"1550" "F105M005" "F105" "M005" "Hybrid" 11.232
"1551" "F105M006" "F105" "M006" "Hybrid" 11.432
"1552" "F105M008" "F105" "M008" "Hybrid" 10.947
"1553" "F105M009" "F105" "M009" "Hybrid" 10.941
"1554" "F105M010" "F105" "M010" "Hybrid" 10.857
"1555" "F105M011" "F105" "M011" "Hybrid" 10.596
"1556" "F105M012" "F105" "M012" "Hybrid" 10.863
"1557" "F105M013" "F105" "M013" "Hybrid" 11.169
"1558" "F105M014" "F105" "M014" "Hybrid" 11.337
"1559" "F105M015" "F105" "M015" "Hybrid" 10.597
"1560" "F106M001" "F106" "M001" "Hybrid" 11.046
"1561" "F106M002" "F106" "M002" "Hybrid" 10.721
"1562" "F106M003" "F106" "M003" "Hybrid" 10.588
"1563" "F106M004" "F106" "M004" "Hybrid" 10.475
"1564" "F106M006" "F106" "M006" "Hybrid" 10.914
"1565" "F106M007" "F106" "M007" "Hybrid" 10.667
"1566" "F106M008" "F106" "M008" "Hybrid" 10.746
"1567" "F106M009" "F106" "M009" "Hybrid" 11.009
"1568" "F106M010" "F106" "M010" "Hybrid" 10.815
"1569" "F106M011" "F106" "M011" "Hybrid" 10.655
"1570" "F106M012" "F106" "M012" "Hybrid" 10.836
"1571" "F106M013" "F106" "M013" "Hybrid" 10.719
"1572" "F106M014" "F106" "M014" "Hybrid" 11.01
"1573" "F106M015" "F106" "M015" "Hybrid" 10.555
"1574" "F107M001" "F107" "M001" "Hybrid" 10.769
"1575" "F107M003" "F107" "M003" "Hybrid" 10.759
"1576" "F107M004" "F107" "M004" "Hybrid" 10.477
"1577" "F107M006" "F107" "M006" "Hybrid" 10.621
"1578" "F107M009" "F107" "M009" "Hybrid" 10.897
"1579" "F107M012" "F107" "M012" "Hybrid" 10.586
"1580" "F107M013" "F107" "M013" "Hybrid" 11.052
"1581" "F107M014" "F107" "M014" "Hybrid" 10.978
"1582" "F108M001" "F108" "M001" "Hybrid" 10.526
"1583" "F108M002" "F108" "M002" "Hybrid" 10.343
"1584" "F108M003" "F108" "M003" "Hybrid" 10.385
"1585" "F108M004" "F108" "M004" "Hybrid" 10.036
"1586" "F108M005" "F108" "M005" "Hybrid" 10.51
"1587" "F108M006" "F108" "M006" "Hybrid" 10.524
"1588" "F108M007" "F108" "M007" "Hybrid" 10.431
"1589" "F108M008" "F108" "M008" "Hybrid" 10.598
"1590" "F108M009" "F108" "M009" "Hybrid" 10.547
"1591" "F108M010" "F108" "M010" "Hybrid" 10.24
"1592" "F108M011" "F108" "M011" "Hybrid" 10.533
"1593" "F108M012" "F108" "M012" "Hybrid" 10.414
"1594" "F108M013" "F108" "M013" "Hybrid" 10.8
"1595" "F108M014" "F108" "M014" "Hybrid" 10.849
"1596" "F108M015" "F108" "M015" "Hybrid" 10.608
"1597" "F109M001" "F109" "M001" "Hybrid" 10.733
"1598" "F109M002" "F109" "M002" "Hybrid" 10.627
"1599" "F109M003" "F109" "M003" "Hybrid" 10.482
"1600" "F109M004" "F109" "M004" "Hybrid" 10.384
"1601" "F109M005" "F109" "M005" "Hybrid" 10.773
"1602" "F109M006" "F109" "M006" "Hybrid" 11.007
"1603" "F109M007" "F109" "M007" "Hybrid" 10.723
"1604" "F109M008" "F109" "M008" "Hybrid" 10.562
"1605" "F109M009" "F109" "M009" "Hybrid" 11.346
"1606" "F109M010" "F109" "M010" "Hybrid" 10.247
"1607" "F109M011" "F109" "M011" "Hybrid" 10.463
"1608" "F109M012" "F109" "M012" "Hybrid" 10.335
"1609" "F109M013" "F109" "M013" "Hybrid" 10.888
"1610" "F109M014" "F109" "M014" "Hybrid" 10.714
"1611" "F109M015" "F109" "M015" "Hybrid" 10.923
"1612" "F110M001" "F110" "M001" "Hybrid" 10.676
"1613" "F110M003" "F110" "M003" "Hybrid" 10.63
"1614" "F110M005" "F110" "M005" "Hybrid" 10.32
"1615" "F110M006" "F110" "M006" "Hybrid" 10.431
"1616" "F110M008" "F110" "M008" "Hybrid" 10.49
"1617" "F110M009" "F110" "M009" "Hybrid" 10.645
"1618" "F110M010" "F110" "M010" "Hybrid" 10.471
"1619" "F110M011" "F110" "M011" "Hybrid" 10.28
"1620" "F110M012" "F110" "M012" "Hybrid" 10.08
"1621" "F110M013" "F110" "M013" "Hybrid" 10.659
"1622" "F110M014" "F110" "M014" "Hybrid" 10.668
"1623" "F110M015" "F110" "M015" "Hybrid" 10.453
"1624" "F111M001" "F111" "M001" "Hybrid" 10.436
"1625" "F111M002" "F111" "M002" "Hybrid" 10.693
"1626" "F111M003" "F111" "M003" "Hybrid" 10.282
"1627" "F111M004" "F111" "M004" "Hybrid" 10.346
"1628" "F111M005" "F111" "M005" "Hybrid" 10.594
"1629" "F111M006" "F111" "M006" "Hybrid" 10.905
"1630" "F111M007" "F111" "M007" "Hybrid" 10.656
"1631" "F111M008" "F111" "M008" "Hybrid" 10.394
"1632" "F111M009" "F111" "M009" "Hybrid" 10.705
"1633" "F111M010" "F111" "M010" "Hybrid" 10.386
"1634" "F111M011" "F111" "M011" "Hybrid" 10.202
"1635" "F111M012" "F111" "M012" "Hybrid" 10.219
"1636" "F111M013" "F111" "M013" "Hybrid" 10.824
"1637" "F111M014" "F111" "M014" "Hybrid" 10.432
"1638" "F111M015" "F111" "M015" "Hybrid" 10.665
"1639" "F112M001" "F112" "M001" "Hybrid" 10.694
"1640" "F112M002" "F112" "M002" "Hybrid" 10.738
"1641" "F112M003" "F112" "M003" "Hybrid" 10.475
"1642" "F112M004" "F112" "M004" "Hybrid" 10.171
"1643" "F112M005" "F112" "M005" "Hybrid" 10.543
"1644" "F112M006" "F112" "M006" "Hybrid" 10.732
"1645" "F112M007" "F112" "M007" "Hybrid" 10.54
"1646" "F112M008" "F112" "M008" "Hybrid" 10.773
"1647" "F112M009" "F112" "M009" "Hybrid" 10.848
"1648" "F112M010" "F112" "M010" "Hybrid" 10.594
"1649" "F112M011" "F112" "M011" "Hybrid" 10.4
"1650" "F112M012" "F112" "M012" "Hybrid" 10.537
"1651" "F112M013" "F112" "M013" "Hybrid" 10.757
"1652" "F112M014" "F112" "M014" "Hybrid" 10.635
"1653" "F112M015" "F112" "M015" "Hybrid" 11.109
"1654" "F113M005" "F113" "M005" "Hybrid" 10.896
"1655" "F113M006" "F113" "M006" "Hybrid" 10.663
"1656" "F113M009" "F113" "M009" "Hybrid" 11.064
"1657" "F113M013" "F113" "M013" "Hybrid" 10.86
"1658" "F113M014" "F113" "M014" "Hybrid" 10.796
"1659" "F113M015" "F113" "M015" "Hybrid" 10.538
"1660" "F114M003" "F114" "M003" "Hybrid" 10.799
"1661" "F114M004" "F114" "M004" "Hybrid" 10.333
"1662" "F114M006" "F114" "M006" "Hybrid" 10.763
"1663" "F114M007" "F114" "M007" "Hybrid" 10.956
"1664" "F114M009" "F114" "M009" "Hybrid" 11.004
"1665" "F114M010" "F114" "M010" "Hybrid" 10.798
"1666" "F114M012" "F114" "M012" "Hybrid" 10.764
"1667" "F114M013" "F114" "M013" "Hybrid" 10.478
"1668" "F114M014" "F114" "M014" "Hybrid" 10.965
"1669" "F114M015" "F114" "M015" "Hybrid" 10.854
"1670" "F115M001" "F115" "M001" "Hybrid" 10.973
"1671" "F115M002" "F115" "M002" "Hybrid" 11.064
"1672" "F115M003" "F115" "M003" "Hybrid" 10.842
"1673" "F115M004" "F115" "M004" "Hybrid" 10.944
"1674" "F115M005" "F115" "M005" "Hybrid" 10.974
"1675" "F115M006" "F115" "M006" "Hybrid" 11.422
"1676" "F115M007" "F115" "M007" "Hybrid" 10.715
"1677" "F115M008" "F115" "M008" "Hybrid" 11.141
"1678" "F115M009" "F115" "M009" "Hybrid" 11.421
"1679" "F115M010" "F115" "M010" "Hybrid" 10.719
"1680" "F115M011" "F115" "M011" "Hybrid" 10.821
"1681" "F115M012" "F115" "M012" "Hybrid" 10.885
"1682" "F115M013" "F115" "M013" "Hybrid" 11.108
"1683" "F115M014" "F115" "M014" "Hybrid" 11.416
"1684" "F115M015" "F115" "M015" "Hybrid" 11.33
"1685" "F116M004" "F116" "M004" "Hybrid" 10.568
"1686" "F116M006" "F116" "M006" "Hybrid" 10.695
"1687" "F116M007" "F116" "M007" "Hybrid" 10.472
"1688" "F116M009" "F116" "M009" "Hybrid" 10.967
"1689" "F116M013" "F116" "M013" "Hybrid" 10.868
"1690" "F116M014" "F116" "M014" "Hybrid" 10.909
"1691" "F116M015" "F116" "M015" "Hybrid" 10.887
"1692" "F117M001" "F117" "M001" "Hybrid" 10.576
"1693" "F117M002" "F117" "M002" "Hybrid" 10.362
"1694" "F117M003" "F117" "M003" "Hybrid" 10.736
"1695" "F117M004" "F117" "M004" "Hybrid" 9.993
"1696" "F117M005" "F117" "M005" "Hybrid" 10.597
"1697" "F117M006" "F117" "M006" "Hybrid" 10.934
"1698" "F117M007" "F117" "M007" "Hybrid" 10.819
"1699" "F117M008" "F117" "M008" "Hybrid" 10.605
"1700" "F117M009" "F117" "M009" "Hybrid" 10.811
"1701" "F117M010" "F117" "M010" "Hybrid" 10.391
"1702" "F117M012" "F117" "M012" "Hybrid" 10.298
"1703" "F117M013" "F117" "M013" "Hybrid" 10.712
"1704" "F117M014" "F117" "M014" "Hybrid" 10.513
"1705" "F117M015" "F117" "M015" "Hybrid" 10.347
"1706" "F118M001" "F118" "M001" "Hybrid" 10.482
"1707" "F118M003" "F118" "M003" "Hybrid" 10.651
"1708" "F118M004" "F118" "M004" "Hybrid" 10.494
"1709" "F118M005" "F118" "M005" "Hybrid" 10.736
"1710" "F118M006" "F118" "M006" "Hybrid" 11.029
"1711" "F118M007" "F118" "M007" "Hybrid" 10.593
"1712" "F118M008" "F118" "M008" "Hybrid" 10.639
"1713" "F118M009" "F118" "M009" "Hybrid" 10.773
"1714" "F118M010" "F118" "M010" "Hybrid" 10.101
"1715" "F118M011" "F118" "M011" "Hybrid" 10.342
"1716" "F118M012" "F118" "M012" "Hybrid" 10.408
"1717" "F118M013" "F118" "M013" "Hybrid" 10.943
"1718" "F118M014" "F118" "M014" "Hybrid" 10.973
"1719" "F118M015" "F118" "M015" "Hybrid" 11.35
"1720" "F119M003" "F119" "M003" "Hybrid" 10.647
"1721" "F119M004" "F119" "M004" "Hybrid" 10.317
"1722" "F119M010" "F119" "M010" "Hybrid" 10.899
"1723" "F119M012" "F119" "M012" "Hybrid" 10.91
"1724" "F119M013" "F119" "M013" "Hybrid" 10.829
"1725" "F119M014" "F119" "M014" "Hybrid" 11.08
"1726" "F119M015" "F119" "M015" "Hybrid" 10.934
"1727" "F120M001" "F120" "M001" "Hybrid" 10.944
"1728" "F120M003" "F120" "M003" "Hybrid" 11.173
"1729" "F120M004" "F120" "M004" "Hybrid" 10.585
"1730" "F120M005" "F120" "M005" "Hybrid" 10.986
"1731" "F120M006" "F120" "M006" "Hybrid" 10.926
"1732" "F120M007" "F120" "M007" "Hybrid" 10.763
"1733" "F120M008" "F120" "M008" "Hybrid" 10.875
"1734" "F120M009" "F120" "M009" "Hybrid" 11.274
"1735" "F120M010" "F120" "M010" "Hybrid" 10.785
"1736" "F120M011" "F120" "M011" "Hybrid" 10.78
"1737" "F120M013" "F120" "M013" "Hybrid" 10.835
"1738" "F120M014" "F120" "M014" "Hybrid" 11.258
"1739" "F120M015" "F120" "M015" "Hybrid" 10.771
