"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"181" 8.73651659 "arezzo" "tri9368" "arezzo&&tri9368" 1 0 0 0 0 0 1
"182" 8.862322278 "arezzo" "tri9377" "arezzo&&tri9377" 1 0 0 0 0 0 1
"183" 8.581310084 "arezzo" "tri9409" "arezzo&&tri9409" 1 0 0 0 0 0 1
"184" 9.087119068 "arezzo" "tri9413" "arezzo&&tri9413" 1 0 0 0 0 0 1
"185" 8.324228744 "arezzo" "tri9798" "arezzo&&tri9798" 1 0 0 0 0 0 1
"186" 8.345106007 "arija" "arija" "arija" 0 1 0 0 0 0 1
"187" 9.083189563 "arija" "malemixearly" "arija&&malemixearly" 1 0 0 0 0 0 1
"189" 8.045516101 "armada" "armada" "armada" 0 1 0 0 0 0 1
"190" 9.284100845 "armada" "nordsaatmix" "armada&&nordsaatmix" 1 0 0 0 0 0 1
"191" 8.777527176 "arnaut" "arnaut" "arnaut" 0 1 0 0 0 0 1
"193" 9.602365566 "artist" "artist" "artist" 0 1 0 0 0 0 1
"194" 9.823084582 "artist" "nordsaatmix" "artist&&nordsaatmix" 1 0 0 0 0 0 1
"196" 8.964751442 "attraktion" "attraktion" "attraktion" 0 1 0 0 0 0 1
"197" 9.478835721 "attraktion" "malemixlate" "attraktion&&malemixlate" 1 0 0 0 0 0 1
"198" 8.053882817 "aubedesprez" "aubedesprez" "aubedesprez" 0 1 0 0 0 0 1
"200" 8.653340806 "austerlitz" "austerlitz" "austerlitz" 0 1 0 0 0 0 1
"201" 9.457157207 "austerlitz" "nordsaatmix" "austerlitz&&nordsaatmix" 1 0 0 0 0 0 1
"202" 8.120440154 "b42" "b42" "b42" 0 1 0 0 0 0 1
"203" 8.321723601 "b44" "b44" "b44" 0 1 0 0 0 0 1
"204" 9.020345117 "b44" "malemixearly" "b44&&malemixearly" 1 0 0 0 0 0 1
"205" 8.4136859 "b70" "b70" "b70" 0 1 0 0 0 0 1
"206" 9.039458684 "b70" "malemixearly" "b70&&malemixearly" 1 0 0 0 0 0 1
"207" 7.60146314 "b98" "b98" "b98" 0 1 0 0 0 0 1
"208" 7.432639748 "badenstern" "badenstern" "badenstern" 0 1 0 0 0 0 1
"209" 8.754620795 "badenstern" "malemixlate" "badenstern&&malemixlate" 1 0 0 0 0 0 1
"211" 8.967035881 "balaton" "balaton" "balaton" 0 1 0 0 0 0 1
"212" 9.198277749 "balaton" "malemixearly" "balaton&&malemixearly" 1 0 0 0 0 0 1
"214" 8.428100375 "barroko" "barroko" "barroko" 0 1 0 0 0 0 1
"215" 9.327836475 "barroko" "malemixearly" "barroko&&malemixearly" 1 0 0 0 0 0 1
"216" 8.836151349 "barryton" "barryton" "barryton" 0 1 0 0 0 0 1
"217" 10.26335628 "barryton" "nordsaatmix" "barryton&&nordsaatmix" 1 0 0 0 0 0 1
"219" 7.658238104 "begra" "begra" "begra" 0 1 0 0 0 0 1
"220" 9.342674376 "begra" "nordsaatmix" "begra&&nordsaatmix" 1 0 0 0 0 0 1
"221" 9.707784177 "benchmark" "benchmark" "benchmark" 0 1 0 0 0 0 1
"223" 9.28256277 "benchmark" "tri8280" "benchmark&&tri8280" 1 0 0 0 0 0 1
"225" 9.722721445 "bergamo" "bergamo" "bergamo" 0 1 0 0 0 0 1
"226" 9.53091529 "bergamo" "malemixearly" "bergamo&&malemixearly" 1 0 0 0 0 0 1
"227" 8.187729965 "bernina" "bernina" "bernina" 0 1 0 0 0 0 1
"228" 9.322449219 "bernina" "malemixlate" "bernina&&malemixlate" 1 0 0 0 0 0 1
"229" 8.963869318 "bernstein" "bernstein" "bernstein" 0 1 0 0 0 0 1
"230" 8.947808979 "bernstein" "malemixearly" "bernstein&&malemixearly" 1 0 0 0 0 0 1
"232" 8.061508241 "blason" "blason" "blason" 0 1 0 0 0 0 1
"233" 9.56876649 "blason" "sur99820sur186" "blason&&sur99820sur186" 1 0 0 0 0 0 1
"235" 8.893133203 "boka" "boka" "boka" 0 1 0 0 0 0 1
"236" 9.183687739 "boka" "malemixearly" "boka&&malemixearly" 1 0 0 0 0 0 1
"237" 8.944735639 "bona" "bona" "bona" 0 1 0 0 0 0 1
"238" 9.501756712 "bona" "malemixearly" "bona&&malemixearly" 1 0 0 0 0 0 1
"239" 9.558169872 "bonanza" "bonanza" "bonanza" 0 1 0 0 0 1 1
"240" 9.692800203 "bonanza" "malemixlate" "bonanza&&malemixlate" 1 0 0 0 0 0 1
"241" 9.331783047 "bonanza" "tri5082" "bonanza&&tri5082" 1 0 0 0 0 0 1
"242" 8.622004144 "boregar" "boregar" "boregar" 0 1 1 0 0 0 1
"250" 9.007179946 "boregar" "malemixearly" "boregar&&malemixearly" 1 0 0 0 0 0 1
"257" 9.509050588 "bosporus" "bosporus" "bosporus" 0 1 0 0 0 0 1
"258" 9.795531002 "bosporus" "malemixearly" "bosporus&&malemixearly" 1 0 0 0 0 0 1
"259" 9.447892911 "bosporus" "tri5082" "bosporus&&tri5082" 1 0 0 0 0 0 1
"260" 8.707417908 "bosporus" "tri9326" "bosporus&&tri9326" 1 0 0 0 0 0 1
"261" 8.481706863 "boxer" "boxer" "boxer" 0 1 0 0 0 0 1
"262" 9.106614433 "boxer" "malemixlate" "boxer&&malemixlate" 1 0 0 0 0 0 1
"263" 8.413257784 "brea" "brea" "brea" 0 1 0 0 0 0 1
"264" 9.002662368 "brea" "malemixearly" "brea&&malemixearly" 1 0 0 0 0 0 1
"265" 7.557056521 "brennus" "brennus" "brennus" 0 1 0 0 0 0 1
"266" 9.084283118 "brennus" "nordsaatmix" "brennus&&nordsaatmix" 1 0 0 0 0 0 1
"267" 9.129093011 "bruneta" "bruneta" "bruneta" 0 1 0 0 0 0 1
"268" 9.391324141 "bruneta" "malemixearly" "bruneta&&malemixearly" 1 0 0 0 0 0 1
"269" 8.988808556 "buenno" "buenno" "buenno" 0 1 0 0 0 0 1
"270" 8.945984114 "buenno" "tri10055" "buenno&&tri10055" 1 0 0 0 0 0 1
"271" 8.784143656 "buenno" "tri14866" "buenno&&tri14866" 1 0 0 0 0 0 1
"272" 9.204338786 "buenno" "tri16035" "buenno&&tri16035" 1 0 0 0 0 0 1
"273" 8.138428342 "buenno" "tri23566" "buenno&&tri23566" 1 0 0 0 0 0 1
"274" 8.637453415 "buenno" "tri3395" "buenno&&tri3395" 1 0 0 0 0 0 1
"275" 8.455239253 "buenno" "tri7706" "buenno&&tri7706" 1 0 0 0 0 0 1
"276" 7.958476628 "buenno" "tri9800" "buenno&&tri9800" 1 0 0 0 0 0 1
"277" 7.641364602 "buenno" "tri9806" "buenno&&tri9806" 1 0 0 0 0 0 1
"279" 7.678343049 "campeador" "campeador" "campeador" 0 1 0 0 0 0 1
"280" 8.878510092 "campeador" "malemixearly" "campeador&&malemixearly" 1 0 0 0 0 0 1
"281" 9.020093354 "campremy" "campremy" "campremy" 0 1 0 0 0 0 1
"282" 9.273860193 "campremy" "nordsaatmix" "campremy&&nordsaatmix" 1 0 0 0 0 0 1
"284" 7.874596046 "capitolevilmorin" "capitolevilmorin" "capitolevilmorin" 0 1 0 0 0 0 1
"285" 9.203493748 "capitolevilmorin" "sur99820sur186" "capitolevilmorin&&sur99820sur186" 1 0 0 0 0 0 1
"286" 8.383545931 "capo" "capo" "capo" 0 1 0 0 0 0 1
"287" 9.321850805 "capone" "capone" "capone" 0 1 0 0 0 0 1
"288" 9.74133587 "capone" "malemixlate" "capone&&malemixlate" 1 0 0 0 0 0 1
"289" 8.508905746 "capone" "tri5082" "capone&&tri5082" 1 0 0 0 0 0 1
"290" 9.019742864 "capone" "tri9326" "capone&&tri9326" 1 0 0 0 0 0 1
"291" 8.209638125 "cargo" "cargo" "cargo" 0 1 0 0 0 0 1
"293" 8.832706073 "caristern" "caristern" "caristern" 0 1 0 0 0 0 1
"294" 9.336721575 "caristern" "malemixearly" "caristern&&malemixearly" 1 0 0 0 0 0 1
"295" 8.839323313 "centinel" "centinel" "centinel" 0 1 0 0 0 0 1
"296" 9.482730855 "centinel" "sur99820sur186" "centinel&&sur99820sur186" 1 0 0 0 0 0 1
"297" 8.062970727 "cerealor" "cerealor" "cerealor" 0 1 0 0 0 0 1
"298" 9.417540438 "cerealor" "sur99820sur186" "cerealor&&sur99820sur186" 1 0 0 0 0 0 1
"299" 8.105553806 "cf99007" "cf99007" "cf99007" 0 1 0 0 0 0 1
"300" 8.893332519 "cf99007" "tri10055" "cf99007&&tri10055" 1 0 0 0 0 0 1
"301" 9.057212073 "cf99007" "tri10476" "cf99007&&tri10476" 1 0 0 0 0 0 1
"303" 8.666138614 "cf99007" "tri11332" "cf99007&&tri11332" 1 0 0 0 0 0 1
"305" 8.29917298 "cf99007" "tri13066" "cf99007&&tri13066" 1 0 0 0 0 0 1
"306" 8.757751835 "cf99007" "tri13107" "cf99007&&tri13107" 1 0 0 0 0 0 1
"307" 8.671504917 "cf99007" "tri13326" "cf99007&&tri13326" 1 0 0 0 0 0 1
"308" 8.755431007 "cf99007" "tri14866" "cf99007&&tri14866" 1 0 0 0 0 0 1
"309" 8.923178666 "cf99007" "tri14937" "cf99007&&tri14937" 1 0 0 0 0 0 1
"310" 9.18196325 "cf99007" "tri16035" "cf99007&&tri16035" 1 0 0 0 0 0 1
"311" 7.919413697 "cf99007" "tri17722" "cf99007&&tri17722" 1 0 0 0 0 0 1
"312" 8.660936408 "cf99007" "tri17856iso" "cf99007&&tri17856iso" 1 0 0 0 0 0 1
"313" 8.820564536 "cf99007" "tri19545" "cf99007&&tri19545" 1 0 0 0 0 0 1
"315" 8.823649903 "cf99007" "tri21340" "cf99007&&tri21340" 1 0 0 0 0 0 1
"316" 9.014857449 "cf99007" "tri22150" "cf99007&&tri22150" 1 0 0 0 0 0 1
"317" 8.556509451 "cf99007" "tri23566" "cf99007&&tri23566" 1 0 0 0 0 0 1
"318" 8.473165892 "cf99007" "tri3395" "cf99007&&tri3395" 1 0 0 0 0 0 1
"319" 9.060301364 "cf99007" "tri7706" "cf99007&&tri7706" 1 0 0 0 0 0 1
"320" 8.640242797 "cf99007" "tri8050" "cf99007&&tri8050" 1 0 0 0 0 0 1
"321" 8.884238665 "cf99007" "tri8089" "cf99007&&tri8089" 1 0 0 0 0 0 1
"322" 8.270412446 "cf99007" "tri9806" "cf99007&&tri9806" 1 0 0 0 0 0 1
"324" 7.961057829 "chambord" "chambord" "chambord" 0 1 0 0 0 0 1
"325" 8.824597455 "chambord" "malemixearly" "chambord&&malemixearly" 1 0 0 0 0 0 1
"327" 8.338519523 "citr16686" "citr16686" "citr16686" 0 1 0 0 0 0 1
"328" 9.503906294 "citr16686" "malemixearly" "citr16686&&malemixearly" 1 0 0 0 0 0 1
"329" 7.271971666 "citr16977" "citr16977" "citr16977" 0 1 0 0 0 0 1
"330" 8.67861379 "citr16977" "nordsaatmix" "citr16977&&nordsaatmix" 1 0 0 0 0 0 1
"331" 8.379014904 "cleo" "cleo" "cleo" 0 1 0 0 0 0 1
